experiment,x_name,x_value,algorithm,metric,n,mean,ci95_half_width,ci95_low,ci95_high
scalability,nodes,12.0,stg_ddqn,continuity_satisfaction_ratio_pct,3,97.2502805836139,6.007225295637725,91.24305528797618,103.25750587925162
scalability,nodes,12.0,stg_ddqn,migration_mb_per_admitted_sfc,3,23.18533704325139,6.3665004552697155,16.818836587981675,29.551837498521106
scalability,nodes,12.0,stg_ddqn,downtime_ms_per_admitted_sfc,3,19.732715781348002,5.842973705997496,13.889742075350506,25.5756894873455
scalability,nodes,12.0,stg_ddqn,mean_e2e_delay_ms,3,51.036253071024476,10.226473082818083,40.809779988206394,61.26272615384256
scalability,nodes,12.0,stg_ddqn,p95_e2e_delay_ms,3,75.14777159381305,16.665309063616746,58.4824625301963,91.8130806574298
scalability,nodes,12.0,stg_ddqn,mean_decision_runtime_ms,3,18.21921051372078,11.33633267887613,6.882877834844649,29.555543192596907
scalability,nodes,12.0,stg_ddqn,p95_decision_runtime_ms,3,11.841964966666593,6.075681526181103,5.76628344048549,17.917646492847695
scalability,nodes,12.0,stg_ddqn,mean_cpu_utilization_pct,3,78.89136641256943,3.396767998844078,75.49459841372534,82.28813441141351
scalability,nodes,12.0,stg_ddqn,mean_bandwidth_utilization_pct,3,22.4471522001096,5.446232556753114,17.000919643356486,27.893384756862712
scalability,nodes,16.0,dlapm,acceptance_ratio_pct,3,93.27846834609839,13.953738497422313,79.32472984867609,107.2322068435207
scalability,nodes,16.0,dlapm,continuity_satisfaction_ratio_pct,3,93.16666666666667,8.158589892336725,85.00807677432995,101.32525655900339
scalability,nodes,16.0,dlapm,migration_mb_per_admitted_sfc,3,69.51468983304545,20.61611182241129,48.89857801063416,90.13080165545674
scalability,nodes,16.0,dlapm,downtime_ms_per_admitted_sfc,3,41.879917184265004,16.55097381403593,25.328943370229073,58.43089099830094
scalability,nodes,16.0,dlapm,mean_e2e_delay_ms,3,49.90428485555169,6.639013910036447,43.26527094551524,56.54329876558813
scalability,nodes,16.0,dlapm,p95_e2e_delay_ms,3,78.28282491948251,11.313128253671293,66.96969666581121,89.5959531731538
scalability,nodes,16.0,dlapm,mean_decision_runtime_ms,3,123.19070087313315,241.84765604614014,-118.65695517300699,365.03835691927327
scalability,nodes,16.0,dlapm,p95_decision_runtime_ms,3,12.194713033333327,8.667759808154202,3.526953225179126,20.86247284148753
scalability,nodes,16.0,dlapm,mean_cpu_utilization_pct,3,70.63526461456227,8.359555361488471,62.2757092530738,78.99481997605075
scalability,nodes,16.0,dlapm,mean_bandwidth_utilization_pct,3,19.16897282486074,5.852483448514806,13.316489376345935,25.02145627337555
scalability,nodes,16.0,im,acceptance_ratio_pct,3,97.52841222553239,7.197894273099379,90.33051795243301,104.72630649863177
scalability,nodes,16.0,im,continuity_satisfaction_ratio_pct,3,94.58968772694261,11.7714999866226,82.81818774032001,106.36118771356522
scalability,nodes,16.0,im,migration_mb_per_admitted_sfc,3,11.481576476136631,20.325037858688354,-8.843461382551723,31.806614334824985
scalability,nodes,16.0,im,downtime_ms_per_admitted_sfc,3,6.911001642036125,8.874897432857264,-1.9638957908211383,15.78589907489339
scalability,nodes,16.0,im,mean_e2e_delay_ms,3,49.581918420001564,7.626419435450679,41.955498984550886,57.20833785545224
scalability,nodes,16.0,im,p95_e2e_delay_ms,3,75.18729645036115,10.713669240438652,64.4736272099225,85.9009656907998
scalability,nodes,16.0,im,mean_decision_runtime_ms,3,70.53057258712938,115.84375658177345,-45.31318399464406,186.37432916890282
scalability,nodes,16.0,im,p95_decision_runtime_ms,3,10.200554583333332,5.340284007880042,4.86027057545329,15.540838591213374
scalability,nodes,16.0,im,mean_cpu_utilization_pct,3,68.75744737419076,3.9532929480727095,64.80415442611805,72.71074032226348
scalability,nodes,16.0,im,mean_bandwidth_utilization_pct,3,17.070444665423675,2.6984849746035278,14.371959690820148,19.768929640027203
scalability,nodes,16.0,stg_ddqn,acceptance_ratio_pct,3,95.73997344260674,7.410983748407353,88.3289896941994,103.15095719101409
scalability,nodes,16.0,stg_ddqn,continuity_satisfaction_ratio_pct,3,91.24579124579124,6.314757049874522,84.93103419591672,97.56054829566575
scalability,nodes,16.0,stg_ddqn,migration_mb_per_admitted_sfc,3,34.68135264751901,3.323315998319506,31.358036649199505,38.00466864583852
scalability,nodes,16.0,stg_ddqn,downtime_ms_per_admitted_sfc,3,25.76241469474552,4.973500882941101,20.78891381180442,30.73591557768662
scalability,nodes,16.0,stg_ddqn,mean_e2e_delay_ms,3,50.044604866955304,8.043846834079915,42.00075803287539,58.08845170103522
scalability,nodes,16.0,stg_ddqn,p95_e2e_delay_ms,3,77.03325138285511,10.207577594943372,66.82567378791174,87.24082897779849
scalability,nodes,16.0,stg_ddqn,mean_decision_runtime_ms,3,75.3470334227495,191.553079328184,-116.2060459054345,266.9001127509335
scalability,nodes,16.0,stg_ddqn,p95_decision_runtime_ms,3,15.662184766666655,9.686166128939412,5.976018637727243,25.348350895606067
scalability,nodes,16.0,stg_ddqn,mean_cpu_utilization_pct,3,68.83838665483323,4.976705618891793,63.86168103594144,73.81509227372503
scalability,nodes,16.0,stg_ddqn,mean_bandwidth_utilization_pct,3,17.852931863083516,5.060493124303713,12.792438738779802,22.91342498738723
scalability,nodes,24.0,dlapm,acceptance_ratio_pct,3,100.0,0.0,100.0,100.0
